"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000045514"	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"ENSMUSG00000045515"	5	2	0	1	1	1	0	0	2	0	0	0	0	4	0	3	0	3
"ENSMUSG00000045518"	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	2	0	1
"ENSMUSG00000045519"	225	227	444	312	149	154	448	447	670	586	216	220	387	498	225	623	167	626
"ENSMUSG00000045521"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000045528"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045532"	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
"ENSMUSG00000045534"	40	133	126	92	32	83	79	87	113	283	74	77	183	182	51	189	45	239
"ENSMUSG00000045538"	44	107	104	99	32	73	84	116	178	157	36	61	95	134	56	122	24	170
"ENSMUSG00000045539"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045540"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045545"	45	19	27	25	1	62	5	27	65	46	4	5	10	17	14	5	4	20
"ENSMUSG00000045551"	46	23	55	61	24	63	15	16	141	19	5	3	7	13	8	23	2	10
"ENSMUSG00000045555"	8	13	18	6	4	3	14	11	19	30	9	6	12	25	20	29	5	22
"ENSMUSG00000045559"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045566"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045569"	0	4	0	0	0	2	1	1	0	0	1	0	0	0	0	2	0	0
"ENSMUSG00000045573"	14	5	11	0	0	5	0	2	0	5	0	1	0	0	0	0	0	0
"ENSMUSG00000045575"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"ENSMUSG00000045576"	178	309	454	289	116	255	427	411	591	597	200	222	280	465	316	497	104	551
"ENSMUSG00000045581"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045584"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045587"	4	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2
"ENSMUSG00000045589"	1	0	5	2	5	8	9	3	13	12	11	4	16	12	6	16	3	13
"ENSMUSG00000045591"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045594"	233	293	240	420	119	211	288	405	575	572	222	217	459	501	254	503	112	742
"ENSMUSG00000045598"	140	214	280	178	60	129	173	261	321	526	140	139	300	354	116	269	48	375
"ENSMUSG00000045608"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045609"	0	0	1	1	0	0	1	10	18	4	4	0	2	3	2	3	1	2
"ENSMUSG00000045613"	1265	1855	3624	1569	1292	1210	2631	2350	2886	2916	1148	1041	2038	3338	1797	3173	792	3512
"ENSMUSG00000045620"	3	2	4	0	0	0	5	1	1	0	0	0	0	0	1	3	0	1
"ENSMUSG00000045624"	1106	1034	1525	1288	616	454	2180	1943	3155	2308	930	1004	1397	2311	961	2170	584	2353
"ENSMUSG00000045625"	8	3	2	3	1	6	7	2	20	31	7	6	3	12	4	10	0	15
"ENSMUSG00000045629"	114	181	256	145	86	127	173	203	297	439	142	135	250	290	133	421	82	396
"ENSMUSG00000045631"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0
"ENSMUSG00000045636"	2833	4625	5748	4864	2399	3957	6726	6720	8954	10531	3530	3264	6367	8194	4120	9794	1963	9060
"ENSMUSG00000045639"	606	1317	1128	642	304	710	1189	1279	1794	2341	711	774	1079	1414	566	1488	304	1948
"ENSMUSG00000045648"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045655"	2	1	1	2	0	0	3	3	0	0	3	1	1	0	1	0	2	2
"ENSMUSG00000045657"	4	9	9	7	4	4	11	18	14	18	4	9	9	9	6	11	3	9
"ENSMUSG00000045658"	120	110	128	292	75	113	215	228	485	359	95	104	182	323	140	376	69	335
"ENSMUSG00000045659"	291	380	697	394	143	339	318	443	637	859	421	328	402	842	421	512	125	1184
"ENSMUSG00000045662"	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
"ENSMUSG00000045664"	238	349	354	316	111	205	432	405	757	659	242	271	400	473	223	524	106	589
"ENSMUSG00000045665"	165	227	255	356	90	224	313	345	557	497	179	173	274	368	164	444	97	519
"ENSMUSG00000045667"	368	480	565	558	188	373	595	647	863	1171	397	324	723	979	434	1082	163	1297
